Date,Price
2020-12-09,1.281
2020-12-10,1.306
2020-12-11,1.314
2020-12-14,1.338
2020-12-15,1.346
2020-12-16,1.35
2020-12-17,1.373
2020-12-18,1.388
2020-12-21,1.35
2020-12-22,1.324
2020-12-23,1.363
2020-12-24,1.36
2020-12-28,1.343
2020-12-29,1.353
2020-12-30,1.355
2020-12-31,1.34
2021-01-04,1.312
2021-01-05,1.376
2021-01-06,1.371
2021-01-07,1.38
2021-01-08,1.424
2021-01-11,1.412
2021-01-12,1.463
2021-01-13,1.462
2021-01-14,1.473
2021-01-15,1.433
2021-01-19,1.443
2021-01-20,1.442
2021-01-21,1.444
2021-01-22,1.421
2021-01-25,1.464
2021-01-26,1.409
2021-01-27,1.424
2021-01-28,1.418
2021-01-29,1.417
2021-02-01,1.454
2021-02-02,1.484
2021-02-03,1.505
2021-02-04,1.521
2021-02-05,1.527
2021-02-08,1.567
2021-02-09,1.569
2021-02-10,1.569
2021-02-11,1.554
2021-02-12,1.581
2021-02-16,1.632
2021-02-17,1.659
2021-02-18,1.624
2021-02-19,1.618
2021-02-22,1.671
2021-02-23,1.717
2021-02-24,1.754
2021-02-25,1.729
2021-02-26,1.682
2021-03-01,1.645
2021-03-02,1.636
2021-03-03,1.655
2021-03-04,1.719
2021-03-05,1.769
2021-03-08,1.71
2021-03-09,1.702
2021-03-10,1.722
2021-03-11,1.76
2021-03-12,1.76
2021-03-15,1.748
2021-03-16,1.728
2021-03-17,1.686
2021-03-18,1.579
2021-03-19,1.622
2021-03-22,1.633
2021-03-23,1.54
2021-03-24,1.645
2021-03-25,1.573
2021-03-26,1.604
2021-03-29,1.61
2021-03-30,1.588
2021-03-31,1.571
2021-04-01,1.624
2021-04-05,1.582
2021-04-06,1.596
2021-04-07,1.604
2021-04-08,1.61
2021-04-09,1.805
2021-04-12,1.623
2021-04-13,1.632
2021-04-14,1.696
2021-04-15,1.71
2021-04-16,1.699
2021-04-19,1.701
2021-04-20,1.682
2021-04-21,1.644
2021-04-22,1.661
2021-04-23,1.67
2021-04-26,1.673
2021-04-27,1.703
2021-04-28,1.724
2021-04-29,1.729
2021-04-30,1.689
2021-05-03,1.722
2021-05-04,1.762
2021-05-05,1.755
2021-05-06,1.749
2021-05-07,1.75
2021-05-10,1.749
2021-05-11,1.77
2021-05-12,1.81
2021-05-13,1.736
2021-05-14,1.775
2021-05-17,1.777
2021-05-18,1.772
2021-05-19,1.738
2021-05-20,1.672
2021-05-21,1.699
2021-05-24,1.765
2021-05-25,1.75
2021-05-26,1.763
2021-05-27,1.773
2021-05-28,1.759
2021-06-01,1.797
2021-06-02,1.823
2021-06-03,1.818
2021-06-04,1.828
2021-06-07,1.829
2021-06-08,1.854
2021-06-09,1.819
2021-06-10,1.841
2021-06-11,1.822
2021-06-14,1.847
2021-06-15,1.855
2021-06-16,1.834
2021-06-17,1.826
2021-06-18,1.863
2021-06-21,1.899
2021-06-22,1.933
2021-06-23,1.939
2021-06-24,1.903
2021-06-25,1.882
2021-06-28,1.876
2021-06-29,1.884
2021-06-30,1.883
2021-07-01,1.897
2021-07-02,1.934
2021-07-06,1.87
2021-07-07,1.837
2021-07-08,1.878
2021-07-09,1.902
2021-07-12,1.923
2021-07-13,1.954
2021-07-14,1.904
2021-07-15,1.864
2021-07-16,1.865
2021-07-19,1.747
2021-07-20,1.846
2021-07-21,1.839
2021-07-22,1.886
2021-07-23,1.89
2021-07-26,1.913
